,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1087,Marcus Stoinis,5,5,10.3,110,2,Jan-28,55,10.47,31.5,0,0
1088,Deepak Hooda,10,3,4,42,2,01-Jul,21,10.5,12,0,0
1089,Iqbal Abdulla,2,2,5,55,2,Feb-36,27.5,11,15,0,0
1090,Dwayne Smith,12,9,13,148,2,01-Oct,74,11.38,39,0,0
1091,Nathu Singh,2,2,4,15,1,01-Jul,15,3.75,24,0,0
1092,Avesh Khan,1,1,4,23,1,Jan-23,23,5.75,24,0,0
1093,Munaf Patel,2,2,7,57,1,Jan-35,57,8.14,42,0,0
1094,Suresh Raina,14,6,12,102,1,01-Nov,102,8.5,72,0,0
1095,Swapnil Singh,4,4,7,61,1,Jan-14,61,8.71,42,0,0
1096,Chris Jordan,1,1,1,9,1,01-Sep,9,9,6,0,0
1097,Ben Cutting,4,4,12.4,123,1,Jan-41,123,9.71,76,0,0
1098,Yusuf Pathan,15,4,4,41,1,01-Feb,41,10.25,24,0,0
1099,Moises Henriques,12,12,24,248,1,01-Jun,248,10.33,144,0,0
1100,Shubham Agarwal,1,1,4,42,1,Jan-42,42,10.5,24,0,0
1101,Deepak Chahar,3,3,7,74,1,Jan-35,74,10.57,42,0,0
1102,Yuvraj Singh,12,2,2,22,1,01-Jun,22,11,12,0,0
1103,Carlos Brathwaite,2,2,6,67,1,Jan-38,67,11.16,36,0,0
1104,Ashok Dinda,3,3,10,119,1,Jan-26,119,11.9,60,0,0
1105,Matt Henry,2,2,5,71,1,Jan-31,71,14.2,30,0,0
1106,Jayant Yadav,2,2,6,42,0,0/16,0,7,0,0,0
1107,Tejas Baroka,1,1,3.3,33,0,0/33,0,9.42,0,0,0
1108,Ishant Sharma,6,6,18,179,0,0/12,0,9.94,0,0,0
1109,Shakib Al Hasan,1,1,3,31,0,0/31,0,10.33,0,0,0
1110,Shadab Jakati,2,2,5,52,0,0/22,0,10.4,0,0,0
1111,Angelo Mathews,3,2,5,56,0,0/15,0,11.2,0,0,0
1112,Marlon Samuels,5,2,3,34,0,0/12,0,11.33,0,0,0
1113,Rahul Tripathi,14,1,1,12,0,0/12,0,12,0,0,0
1114,Mustafizur Rahman,1,1,2.4,34,0,0/34,0,12.75,0,0,0
1115,Anureet Singh,1,1,2,26,0,0/26,0,13,0,0,0
1116,Irfan Pathan,1,1,2,26,0,0/26,0,13,0,0,0
1117,Barinder Sran,1,1,2,29,0,0/29,0,14.5,0,0,0
1118,Manpreet Gony,1,1,2,32,0,0/32,0,16,0,0,0
1119,Ankit Sharma,1,1,1,16,0,0/16,0,16,0,0,0
1120,Kieron Pollard,17,1,1.5,30,0,0/30,0,16.36,0,0,0
1121,Andrew Tye,14,14,56,448,24,Apr-16,18.66,8,14,3,0
1122,Rashid Khan,17,17,68,458,21,Mar-19,21.8,6.73,19.42,0,0
1123,Siddarth Kaul,17,17,66,547,21,Mar-23,26.04,8.28,18.85,0,0
1124,Umesh Yadav,14,14,53.1,418,20,Mar-23,20.9,7.86,15.95,0,0
1125,Trent Boult,14,14,52.4,466,18,Feb-20,25.88,8.84,17.55,0,0
1126,Hardik Pandya,13,13,42.4,381,18,Mar-24,21.16,8.92,14.22,0,0
1127,Jasprit Bumrah,14,14,54,372,17,Mar-15,21.88,6.88,19.05,0,0
1128,Sunil Narine,16,16,61,467,17,Mar-18,27.47,7.65,21.52,0,0
1129,Kuldeep Yadav,16,16,51.2,418,17,Apr-20,24.58,8.14,18.11,1,0
1130,Shardul Thakur,13,13,46.4,431,16,Feb-18,26.93,9.23,17.5,0,0
1131,Mayank Markande,14,14,44,368,15,Apr-23,24.53,8.36,17.6,1,0
1132,Jofra Archer,10,10,38.5,325,15,Mar-22,21.66,8.36,15.53,0,0
1133,Mujeeb Ur Rahman,11,11,41.2,289,14,Mar-27,20.64,6.99,17.71,0,0
1134,Shakib Al Hasan,17,17,57,456,14,Feb-18,32.57,8,24.42,0,0
1135,Mitchell McClenaghan,11,11,40,332,14,Feb-22,23.71,8.3,17.14,0,0
1136,Piyush Chawla,15,15,49,412,14,Mar-48,29.42,8.4,21,0,0
