,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1172,Stuart Binny,2,12,0,4,6,0,SRH,ACA-VDCA Stadium,16-Apr-15
1173,Ishwar Pandey,2,12,0,6,6,0,RR,Narendra Modi Stadium,19-Apr-15
1174,Ravichandran Ashwin,4,24,0,13,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12-May-15
1175,Ravindra Jadeja,2.4,16,0,6,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12-May-15
1176,Sandeep Sharma,4,25,4,15,6.25,6,KKR,Maharashtra Cricket Association's International Stadium,18-Apr-15
1177,Ashish Nehra,4,25,3,12,6.25,8,DC,Chidambaram,09-Apr-15
1178,Dwayne Bravo,4,25,3,11,6.25,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,02-May-15
1179,Mitchell McClenaghan,4,25,3,15,6.25,8,CSK,Eden Gardens,24-May-15
1180,Mohit Sharma,4,25,3,11,6.25,8,RR,Chidambaram,10-May-15
1181,Axar Patel,4,25,2,8,6.25,12,SRH,IS Bindra Stadium,27-Apr-15
1182,Pawan Negi,4,25,2,10,6.25,12,PBKS,IS Bindra Stadium,16-May-15
1183,Dwayne Bravo,4,25,2,5,6.25,12,SRH,Chidambaram,11-Apr-15
1184,Lasith Malinga,4,25,2,10,6.25,12,CSK,Eden Gardens,24-May-15
1185,Nathan Coulter-Nile,4,25,2,12,6.25,12,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
1186,Sandeep Sharma,4,25,1,10,6.25,24,RR,Narendra Modi Stadium,21-Apr-15
1187,Jagadeesha Suchith,4,25,1,9,6.25,24,SRH,Wankhede Stadium,25-Apr-15
1188,Amit Mishra,4,25,1,7,6.25,24,MI,Wankhede Stadium,05-May-15
1189,Shane Watson,4,25,1,14,6.25,24,DC,Brabourne Stadium,03-May-15
1190,Ravichandran Ashwin,4,25,1,8,6.25,24,DC,Chidambaram,09-Apr-15
1191,Sreenath Aravind,4,25,1,9,6.25,24,CSK,JSCA Stadium,22-May-15
1192,Bhuvneshwar Kumar,4,25,0,9,6.25,0,RR,ACA-VDCA Stadium,16-Apr-15
1193,Mitchell McClenaghan,4,25,0,7,6.25,0,PBKS,IS Bindra Stadium,03-May-15
1194,Anureet Singh,4,25,0,6,6.25,0,RCB,M. Chinnaswamy Stadium,06-May-15
1195,Pat Cummins,4,25,0,12,6.25,0,CSK,Chidambaram,28-Apr-15
1196,Karn Sharma,3,19,1,7,6.33,18,RR,ACA-VDCA Stadium,16-Apr-15
1197,Angelo Mathews,3,19,0,6,6.33,0,PBKS,Arun Jaitley Stadium,01-May-15
1198,James Faulkner,4,26,3,11,6.5,8,PBKS,Maharashtra Cricket Association's International Stadium,10-Apr-15
1199,Bhuvneshwar Kumar,4,26,3,13,6.5,8,MI,Wankhede Stadium,25-Apr-15
1200,Chris Gayle,2,3,0,10,1.5,0,GL,M. Chinnaswamy Stadium,14-May-16
1201,Dwayne Smith,4,8,4,18,2,6,KKR,Green Park,19-May-16
1202,John Hastings,2.4,6,2,13,2.25,8,DC,Eden Gardens,10-Apr-16
1203,Mustafizur Rahman,4,9,2,17,2.25,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23-Apr-16
1204,Rajat Bhatia,4,10,1,17,2.5,24,MI,Wankhede Stadium,09-Apr-16
1205,Sunil Narine,3.4,10,0,13,2.72,0,RPS,Eden Gardens,14-May-16
1206,Sandeep Sharma,4,11,2,16,2.75,12,MI,ACA-VDCA Stadium,13-May-16
1207,Sandeep Sharma,2,6,1,9,3,12,DC,Arun Jaitley Stadium,15-Apr-16
1208,Jasprit Bumrah,4,13,3,12,3.25,8,DC,ACA-VDCA Stadium,15-May-16
1209,Praveen Kumar,4,13,0,12,3.25,0,DC,Arun Jaitley Stadium,27-Apr-16
1210,Dhawal Kulkarni,4,14,4,13,3.5,6,RCB,M. Chinnaswamy Stadium,24-May-16
1211,Shane Watson,2,7,2,7,3.5,6,PBKS,M. Chinnaswamy Stadium,18-May-16
1212,Mitchell Marsh,4,14,2,15,3.5,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-16
1213,Ravichandran Ashwin,4,14,1,11,3.5,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-16
1214,Zaheer Khan,4,14,1,17,3.5,24,PBKS,Arun Jaitley Stadium,15-Apr-16
1215,Chris Jordan,3,11,4,9,3.66,4.5,GL,M. Chinnaswamy Stadium,14-May-16
1216,Amit Mishra,3,11,4,13,3.66,4.5,PBKS,Arun Jaitley Stadium,15-Apr-16
1217,Marcus Stoinis,4,15,4,11,3.75,6,MI,ACA-VDCA Stadium,13-May-16
1218,Krunal Pandya,4,15,1,11,3.75,24,RCB,M. Chinnaswamy Stadium,11-May-16
1219,Yuzvendra Chahal,4,16,1,9,4,24,MI,M. Chinnaswamy Stadium,11-May-16
1220,Murugan Ashwin,4,16,1,13,4,24,MI,Wankhede Stadium,09-Apr-16
1221,Ravichandran Ashwin,4,16,1,14,4,24,SRH,ACA-VDCA Stadium,10-May-16
1222,Mustafizur Rahman,4,17,2,14,4.25,12,GL,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
1223,Dhawal Kulkarni,4,17,2,16,4.25,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
1224,Bhuvneshwar Kumar,4,17,1,14,4.25,24,MI,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
1225,Kane Richardson,3,13,3,11,4.33,6,RPS,Maharashtra Cricket Association's International Stadium,22-Apr-16
1226,Shadab Jakati,3,13,1,12,4.33,18,MI,Wankhede Stadium,16-Apr-16
1227,Sreenath Aravind,3,13,0,9,4.33,0,GL,M. Chinnaswamy Stadium,24-May-16
1228,Pradeep Sahu,4,18,2,10,4.5,12,KKR,IS Bindra Stadium,19-Apr-16
1229,Ravindra Jadeja,4,18,2,13,4.5,12,RPS,Saurashtra Cricket Association Stadium,14-Apr-16
1230,Moises Henriques,4,18,1,9,4.5,24,MI,ACA-VDCA Stadium,08-May-16
1231,Carlos Brathwaite,2,9,0,6,4.5,0,KKR,Eden Gardens,10-Apr-16
1232,Dwayne Bravo,3,14,2,6,4.66,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
1233,Shakib Al Hasan,3,14,1,7,4.66,18,RPS,Maharashtra Cricket Association's International Stadium,24-Apr-16
1234,Ben Cutting,3,14,1,7,4.66,18,KKR,Arun Jaitley Stadium,25-May-16
1235,Adam Zampa,4,19,6,11,4.75,4,SRH,ACA-VDCA Stadium,10-May-16
1236,Bhuvneshwar Kumar,4,19,3,10,4.75,8,KKR,Arun Jaitley Stadium,25-May-16
1237,Dhawal Kulkarni,4,19,3,14,4.75,8,DC,Arun Jaitley Stadium,27-Apr-16
1238,Yuzvendra Chahal,4,19,3,13,4.75,8,GL,M. Chinnaswamy Stadium,14-May-16
1239,Brad Hogg,4,19,3,16,4.75,8,DC,Eden Gardens,10-Apr-16
1240,Dhawal Kulkarni,4,19,2,16,4.75,12,MI,Wankhede Stadium,16-Apr-16
1241,Rajat Bhatia,4,19,2,8,4.75,12,KKR,Maharashtra Cricket Association's International Stadium,24-Apr-16
1242,Praveen Kumar,4,19,2,14,4.75,12,KKR,Eden Gardens,08-May-16
1243,Chris Morris,4,19,1,12,4.75,24,PBKS,Arun Jaitley Stadium,15-Apr-16
1244,Andre Russell,4,19,1,10,4.75,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-16
1245,Chris Morris,4,19,1,10,4.75,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-May-16
1246,Mustafizur Rahman,4,19,1,10,4.75,24,GL,Saurashtra Cricket Association Stadium,21-Apr-16
1247,Andre Russell,4,20,4,13,5,6,PBKS,Eden Gardens,04-May-16
1248,Ashok Dinda,4,20,3,14,5,8,DC,ACA-VDCA Stadium,17-May-16
1249,Shivil Kaushik,4,20,3,10,5,8,PBKS,Saurashtra Cricket Association Stadium,01-May-16
1250,Ashish Nehra,3,15,3,12,5,6,MI,ACA-VDCA Stadium,08-May-16
1251,Krunal Pandya,4,20,1,8,5,24,GL,Wankhede Stadium,16-Apr-16
1252,Bipul Sharma,2,10,1,5,5,12,GL,Saurashtra Cricket Association Stadium,21-Apr-16
1253,Sandeep Sharma,4,20,1,13,5,24,MI,IS Bindra Stadium,25-Apr-16
1254,Bhuvneshwar Kumar,4,20,1,12,5,24,RPS,ACA-VDCA Stadium,10-May-16
1255,Sreenath Aravind,3,15,1,8,5,18,GL,M. Chinnaswamy Stadium,14-May-16
1256,Chris Jordan,2,10,1,7,5,12,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
1257,Mohit Sharma,2,10,0,6,5,0,DC,Arun Jaitley Stadium,15-Apr-16
1258,KC Cariappa,3,15,0,7,5,0,GL,Saurashtra Cricket Association Stadium,01-May-16
1259,Anureet Singh,3,15,0,6,5,0,RCB,IS Bindra Stadium,09-May-16
1260,Amit Mishra,2,10,0,5,5,0,RPS,ACA-VDCA Stadium,17-May-16
1261,Barinder Sran,3.3,18,2,13,5.14,10.5,MI,ACA-VDCA Stadium,08-May-16
1262,Axar Patel,4,21,4,12,5.25,6,GL,Saurashtra Cricket Association Stadium,01-May-16
1263,Mitchell McClenaghan,4,21,4,11,5.25,6,GL,Wankhede Stadium,16-Apr-16
1264,Adam Zampa,4,21,3,7,5.25,8,DC,ACA-VDCA Stadium,17-May-16
1265,Piyush Chawla,4,21,2,13,5.25,12,RPS,Eden Gardens,14-May-16
1266,Piyush Chawla,4,21,2,16,5.25,12,DC,Eden Gardens,10-Apr-16
1267,Ravindra Jadeja,4,21,2,9,5.25,12,RCB,M. Chinnaswamy Stadium,24-May-16
1268,Mitchell Marsh,4,21,2,13,5.25,12,MI,Wankhede Stadium,09-Apr-16
1269,Tabraiz Shamsi,4,21,1,9,5.25,24,GL,Saurashtra Cricket Association Stadium,24-Apr-16
1270,Mohit Sharma,4,21,0,12,5.25,0,DC,IS Bindra Stadium,07-May-16
1271,Chris Morris,4,21,0,13,5.25,0,KKR,Eden Gardens,10-Apr-16
1272,Mustafizur Rahman,3,16,3,8,5.33,6,MI,ACA-VDCA Stadium,08-May-16
1273,KC Cariappa,3,16,2,5,5.33,9,RCB,IS Bindra Stadium,09-May-16
1274,Ashok Dinda,3,16,1,9,5.33,18,PBKS,ACA-VDCA Stadium,21-May-16
1275,Dwayne Bravo,4,22,4,9,5.5,6,PBKS,IS Bindra Stadium,11-Apr-16
1276,Rajat Bhatia,4,22,2,6,5.5,12,DC,Arun Jaitley Stadium,05-May-16
1277,Dwayne Bravo,4,22,2,8,5.5,12,MI,Green Park,21-May-16
1278,Sunil Narine,4,22,2,9,5.5,12,PBKS,IS Bindra Stadium,19-Apr-16
1279,Chris Gayle,2,11,2,3,5.5,6,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
1280,Shane Watson,4,22,2,10,5.5,12,PBKS,IS Bindra Stadium,09-May-16
1281,Shivil Kaushik,4,22,2,11,5.5,12,SRH,Arun Jaitley Stadium,27-May-16
1282,Sunil Narine,4,22,2,11,5.5,12,MI,Wankhede Stadium,28-Apr-16
1283,Iqbal Abdulla,4,22,1,8,5.5,24,KKR,Eden Gardens,16-May-16
1284,Shadab Jakati,4,22,1,5,5.5,24,KKR,Green Park,19-May-16
1285,Andre Russell,2,11,1,6,5.5,12,RPS,Eden Gardens,14-May-16
1286,Tim Southee,4,22,1,13,5.5,24,PBKS,ACA-VDCA Stadium,13-May-16
1287,Amit Mishra,2,11,1,6,5.5,12,KKR,Eden Gardens,10-Apr-16
1288,Moises Henriques,3,17,2,5,5.66,9,KKR,Arun Jaitley Stadium,25-May-16
1289,Vinay Kumar,3,17,2,9,5.66,9,GL,Green Park,21-May-16
1290,Umesh Yadav,3,17,1,5,5.66,18,PBKS,IS Bindra Stadium,19-Apr-16
1291,Bhuvneshwar Kumar,3,17,1,10,5.66,18,RPS,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-16
1292,Irfan Pathan,3,17,0,9,5.66,0,DC,ACA-VDCA Stadium,17-May-16
1293,Moises Henriques,3,17,0,3,5.66,0,GL,Saurashtra Cricket Association Stadium,21-Apr-16
1294,Yusuf Pathan,3,17,0,6,5.66,0,SRH,Arun Jaitley Stadium,25-May-16
1295,Ravindra Jadeja,3,17,0,4,5.66,0,RCB,Saurashtra Cricket Association Stadium,24-Apr-16
1296,Carlos Brathwaite,3.1,18,1,6,5.68,19,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
1297,Mohit Sharma,4,23,3,7,5.75,8,RPS,IS Bindra Stadium,17-Apr-16
1298,Ashok Dinda,4,23,3,15,5.75,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-16
1299,Sandeep Sharma,4,23,2,11,5.75,12,RPS,IS Bindra Stadium,17-Apr-16
1300,Jayant Yadav,4,23,1,12,5.75,24,PBKS,Arun Jaitley Stadium,15-Apr-16
1301,Zaheer Khan,4,23,1,10,5.75,24,MI,ACA-VDCA Stadium,15-May-16
1302,Sreenath Aravind,4,23,1,10,5.75,24,MI,M. Chinnaswamy Stadium,11-May-16
1303,Ravichandran Ashwin,4,23,0,9,5.75,0,DC,ACA-VDCA Stadium,17-May-16
1304,Moises Henriques,4,23,0,10,5.75,0,MI,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
1305,Marcus Stoinis,4,23,0,9,5.75,0,GL,Saurashtra Cricket Association Stadium,01-May-16
1306,Ashish Nehra,4,23,0,13,5.75,0,GL,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
1307,Zaheer Khan,3.3,21,3,9,6,7,KKR,Arun Jaitley Stadium,30-Apr-16
1308,Shane Watson,4,24,3,12,6,8,RPS,M. Chinnaswamy Stadium,07-May-16
1309,Tim Southee,4,24,3,10,6,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
1310,Imran Tahir,4,24,3,7,6,8,GL,Arun Jaitley Stadium,27-Apr-16
1311,Pravin Tambe,2,12,2,6,6,6,MI,Wankhede Stadium,16-Apr-16
1312,Praveen Kumar,4,24,2,15,6,12,MI,Green Park,21-May-16
1313,Amit Mishra,4,24,2,7,6,12,MI,Arun Jaitley Stadium,23-Apr-16
1314,Andre Russell,4,24,1,11,6,24,RCB,M. Chinnaswamy Stadium,02-May-16
1315,Piyush Chawla,3,18,1,8,6,18,PBKS,IS Bindra Stadium,19-Apr-16
1316,Chris Morris,2,12,1,7,6,12,RPS,ACA-VDCA Stadium,17-May-16
1317,Mustafizur Rahman,4,24,1,11,6,24,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20-May-16
1318,Shreyas Gopal,3,18,0,4,6,0,RPS,Wankhede Stadium,09-Apr-16
1319,Shakib Al Hasan,3,18,0,5,6,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-16
1320,Praveen Kumar,2,12,0,6,6,0,RPS,Saurashtra Cricket Association Stadium,14-Apr-16
1321,Axar Patel,4,24,0,7,6,0,KKR,Eden Gardens,04-May-16
1322,Praveen Kumar,2,12,0,5,6,0,KKR,Green Park,19-May-16
1323,Dwayne Smith,2,12,0,4,6,0,DC,Saurashtra Cricket Association Stadium,03-May-16
1324,Praveen Kumar,3,18,0,9,6,0,MI,Wankhede Stadium,16-Apr-16
1325,Mitchell McClenaghan,4,25,2,8,6.25,12,KKR,Eden Gardens,13-Apr-16
1326,Shane Watson,4,25,2,10,6.25,12,DC,M. Chinnaswamy Stadium,17-Apr-16
1327,Nathan Coulter-Nile,4,25,2,9,6.25,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-May-16
1328,Harbhajan Singh,4,25,1,5,6.25,24,RPS,Maharashtra Cricket Association's International Stadium,01-May-16
1329,Krunal Pandya,4,25,0,3,6.25,0,DC,Arun Jaitley Stadium,23-Apr-16
1330,Tim Southee,4,25,0,11,6.25,0,RCB,Wankhede Stadium,20-Apr-16
1331,Jayant Yadav,4,25,0,8,6.25,0,RPS,Arun Jaitley Stadium,05-May-16
1332,Bhuvneshwar Kumar,4,25,0,9,6.25,0,RCB,M. Chinnaswamy Stadium,29-May-16
1333,Praveen Kumar,4,25,0,7,6.25,0,PBKS,IS Bindra Stadium,11-Apr-16
1334,Sandeep Sharma,4,25,0,9,6.25,0,KKR,Eden Gardens,04-May-16
1335,Shivil Kaushik,4,25,0,9,6.25,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
1336,Axar Patel,3,19,2,6,6.33,9,KKR,IS Bindra Stadium,19-Apr-16
1337,Moises Henriques,3,19,2,9,6.33,9,DC,Rajiv Gandhi Intl. Cricket Stadium,12-May-16
1338,Amit Mishra,3,19,2,7,6.33,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-May-16
1339,Amit Mishra,3,19,1,4,6.33,18,GL,Saurashtra Cricket Association Stadium,03-May-16
1340,Chris Morris,3,19,1,5,6.33,18,KKR,Arun Jaitley Stadium,30-Apr-16
1341,Pawan Negi,3,19,1,4,6.33,18,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
1342,Jasprit Bumrah,3,19,0,6,6.33,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
1343,Harbhajan Singh,3,19,0,5,6.33,0,RCB,M. Chinnaswamy Stadium,11-May-16
1344,Zaheer Khan,3,19,0,10,6.33,0,RPS,ACA-VDCA Stadium,17-May-16
1345,Jasprit Bumrah,4,26,3,6,6.5,8,PBKS,IS Bindra Stadium,25-Apr-16
1346,Andre Russell,4,26,3,11,6.5,8,DC,Arun Jaitley Stadium,30-Apr-16
1347,Sunil Narine,4,26,3,11,6.5,8,SRH,Eden Gardens,22-May-16
1348,Mustafizur Rahman,4,26,2,11,6.5,12,RCB,M. Chinnaswamy Stadium,12-Apr-16
1349,Imran Tahir,4,26,2,9,6.5,12,RPS,Arun Jaitley Stadium,05-May-16
1350,Varun Aaron,2,3,2,9,1.5,6,DC,IS Bindra Stadium,30-Apr-17
1351,Lockie Ferguson,4,7,2,17,1.75,12,RCB,Maharashtra Cricket Association's International Stadium,29-Apr-17
1352,Samuel Badree,4,9,4,16,2.25,6,MI,M. Chinnaswamy Stadium,14-Apr-17
1353,Jasprit Bumrah,3,7,3,14,2.33,6,KKR,M. Chinnaswamy Stadium,19-May-17
1354,Lasith Malinga,2,5,2,9,2.5,6,DC,Arun Jaitley Stadium,06-May-17
1355,Karn Sharma,3.4,11,3,13,3,7.33,DC,Arun Jaitley Stadium,06-May-17
1356,Chris Woakes,2,6,3,10,3,4,RCB,Eden Gardens,23-Apr-17
1357,Andrew Tye,4,12,3,12,3,8,RCB,M. Chinnaswamy Stadium,27-Apr-17
1358,Axar Patel,4,12,1,13,3,24,RCB,Holkar Cricket Stadium,10-Apr-17
1359,Moises Henriques,2,6,1,7,3,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-17
1360,Glenn Maxwell,4,12,1,15,3,24,DC,IS Bindra Stadium,30-Apr-17
1361,Mohammad Nabi,4,13,1,15,3.25,24,MI,Rajiv Gandhi Intl. Cricket Stadium,08-May-17
1362,Shahbaz Nadeem,4,13,1,12,3.25,24,RCB,M. Chinnaswamy Stadium,08-Apr-17
1363,Washington Sundar,4,13,0,15,3.25,0,MI,Rajiv Gandhi Intl. Cricket Stadium,21-May-17
1364,Ben Stokes,3,10,0,12,3.33,0,PBKS,Maharashtra Cricket Association's International Stadium,14-May-17
1365,Krunal Pandya,4,14,3,16,3.5,8,GL,Saurashtra Cricket Association Stadium,29-Apr-17
1366,Washington Sundar,2,7,1,5,3.5,12,RCB,Maharashtra Cricket Association's International Stadium,29-Apr-17
1367,Nathu Singh,2,7,1,7,3.5,12,PBKS,Saurashtra Cricket Association Stadium,23-Apr-17
1368,Shardul Thakur,2,7,0,6,3.5,0,MI,Rajiv Gandhi Intl. Cricket Stadium,21-May-17
1369,T Natarajan,2,7,0,9,3.5,0,DC,IS Bindra Stadium,30-Apr-17
1370,Axar Patel,3,11,3,7,3.66,6,RCB,M. Chinnaswamy Stadium,05-May-17
1371,Amit Mishra,3,11,3,10,3.66,6,RPS,Maharashtra Cricket Association's International Stadium,11-Apr-17
1372,Karn Sharma,4,16,4,11,4,6,KKR,M. Chinnaswamy Stadium,19-May-17
1373,Washington Sundar,4,16,3,13,4,8,MI,Wankhede Stadium,16-May-17
1374,Yuzvendra Chahal,4,16,3,10,4,8,KKR,Eden Gardens,23-Apr-17
1375,Jaydev Unadkat,3,12,2,14,4,9,PBKS,Maharashtra Cricket Association's International Stadium,14-May-17
1376,Shane Watson,4,16,1,11,4,24,DC,Arun Jaitley Stadium,14-May-17
1377,Rashid Khan,4,16,1,12,4,24,PBKS,IS Bindra Stadium,28-Apr-17
1378,Pawan Negi,3,12,1,6,4,18,RPS,M. Chinnaswamy Stadium,16-Apr-17
1379,Ankit Soni,4,16,1,13,4,24,MI,Saurashtra Cricket Association Stadium,29-Apr-17
1380,Glenn Maxwell,2,8,1,4,4,12,MI,Wankhede Stadium,11-May-17
1381,Ankit Soni,4,16,0,12,4,0,RPS,Maharashtra Cricket Association's International Stadium,01-May-17
1382,Nathu Singh,2,8,0,6,4,0,RCB,M. Chinnaswamy Stadium,27-Apr-17
1383,Andrew Tye,4,17,5,10,4.25,4.8,RPS,Saurashtra Cricket Association Stadium,14-Apr-17
1384,Pawan Negi,4,17,2,9,4.25,12,MI,Wankhede Stadium,01-May-17
1385,Aniket Choudhary,4,17,2,13,4.25,12,PBKS,M. Chinnaswamy Stadium,05-May-17
1386,Rashid Khan,4,17,1,10,4.25,24,RPS,Maharashtra Cricket Association's International Stadium,22-Apr-17
1387,Ben Stokes,4,18,3,11,4.5,8,RCB,M. Chinnaswamy Stadium,16-Apr-17
1388,Chris Woakes,4,18,3,13,4.5,8,RPS,Eden Gardens,03-May-17
1389,Imran Tahir,4,18,3,12,4.5,8,RCB,Maharashtra Cricket Association's International Stadium,29-Apr-17
1390,Amit Mishra,4,18,2,13,4.5,12,MI,Wankhede Stadium,22-Apr-17
1391,Rahul Tewatia,4,18,2,8,4.5,12,KKR,IS Bindra Stadium,09-May-17
1392,Pawan Negi,4,18,1,12,4.5,24,RPS,Maharashtra Cricket Association's International Stadium,29-Apr-17
1393,Rashid Khan,4,18,1,8,4.5,24,RPS,Rajiv Gandhi Intl. Cricket Stadium,06-May-17
1394,Sunil Narine,4,18,1,10,4.5,24,SRH,Eden Gardens,15-Apr-17
1395,Hardik Pandya,2,9,1,3,4.5,12,RCB,M. Chinnaswamy Stadium,14-Apr-17
1396,Karn Sharma,4,18,0,12,4.5,0,RPS,Rajiv Gandhi Intl. Cricket Stadium,21-May-17
1397,Rajat Bhatia,3,14,2,5,4.66,9,MI,Maharashtra Cricket Association's International Stadium,06-Apr-17
1398,Lasith Malinga,3,14,1,8,4.66,18,RPS,Wankhede Stadium,16-May-17
1399,Shardul Thakur,3,14,1,9,4.66,18,GL,Saurashtra Cricket Association Stadium,14-Apr-17
1400,Ankit Rajpoot,3,14,1,7,4.66,18,MI,Eden Gardens,13-May-17
1401,Samuel Badree,3,14,0,8,4.66,0,PBKS,M. Chinnaswamy Stadium,05-May-17
1402,Rahul Tewatia,3,14,0,10,4.66,0,RPS,Maharashtra Cricket Association's International Stadium,14-May-17
1403,Bhuvneshwar Kumar,4,19,5,14,4.75,4.8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-17
1404,Shardul Thakur,4,19,3,16,4.75,8,PBKS,Maharashtra Cricket Association's International Stadium,14-May-17
1405,Rashid Khan,4,19,3,11,4.75,8,GL,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-17
1406,Jaydev Unadkat,4,19,2,10,4.75,12,MI,Rajiv Gandhi Intl. Cricket Stadium,21-May-17
1407,Rashid Khan,4,19,1,11,4.75,24,MI,Wankhede Stadium,12-Apr-17
1408,Jaydev Unadkat,4,19,1,10,4.75,24,RCB,Maharashtra Cricket Association's International Stadium,29-Apr-17
1409,Sunil Narine,4,19,1,14,4.75,24,PBKS,Eden Gardens,13-Apr-17
1410,Yuzvendra Chahal,4,19,1,10,4.75,24,DC,M. Chinnaswamy Stadium,08-Apr-17
1411,Sandeep Sharma,4,20,4,14,5,6,DC,IS Bindra Stadium,30-Apr-17
1412,Nathan Coulter-Nile,4,20,3,10,5,8,SRH,M. Chinnaswamy Stadium,17-May-17
1413,Pawan Negi,2,10,3,7,5,4,DC,Arun Jaitley Stadium,14-May-17
1414,Bhuvneshwar Kumar,4,20,3,11,5,8,KKR,Eden Gardens,15-Apr-17
1415,Pawan Negi,3,15,2,10,5,9,KKR,Eden Gardens,23-Apr-17
1416,Glenn Maxwell,3,15,2,5,5,9,RCB,M. Chinnaswamy Stadium,05-May-17
1417,Chris Woakes,4,20,2,11,5,12,PBKS,IS Bindra Stadium,09-May-17
1418,Pat Cummins,4,20,2,9,5,12,MI,Wankhede Stadium,22-Apr-17
1419,Dan Christian,2,10,2,4,5,6,PBKS,Maharashtra Cricket Association's International Stadium,14-May-17
1420,Mitchell McClenaghan,4,20,2,11,5,12,RCB,M. Chinnaswamy Stadium,14-Apr-17
1421,Dan Christian,4,20,1,10,5,24,SRH,Maharashtra Cricket Association's International Stadium,22-Apr-17
1422,Harbhajan Singh,4,20,1,7,5,24,RPS,Wankhede Stadium,24-Apr-17
1423,Dwayne Smith,2,10,1,6,5,12,RPS,Saurashtra Cricket Association Stadium,14-Apr-17
1424,Nathan Coulter-Nile,3,15,1,6,5,18,MI,M. Chinnaswamy Stadium,19-May-17
1425,Sunil Narine,4,20,1,8,5,24,DC,Arun Jaitley Stadium,17-Apr-17
1426,James Faulkner,3,15,1,4,5,18,RCB,M. Chinnaswamy Stadium,27-Apr-17
1427,Umesh Yadav,3,15,1,11,5,18,RCB,Eden Gardens,23-Apr-17
1428,Sunil Narine,4,20,0,13,5,0,SRH,M. Chinnaswamy Stadium,17-May-17
1429,Chris Morris,4,21,3,16,5.25,8,RCB,M. Chinnaswamy Stadium,08-Apr-17
1430,Bhuvneshwar Kumar,4,21,3,11,5.25,8,MI,Wankhede Stadium,12-Apr-17
1431,Ben Stokes,4,21,2,8,5.25,12,MI,Wankhede Stadium,24-Apr-17
1432,Pat Cummins,4,21,2,9,5.25,12,RCB,Arun Jaitley Stadium,14-May-17
1433,Yuzvendra Chahal,4,21,2,12,5.25,12,PBKS,M. Chinnaswamy Stadium,05-May-17
1434,Varun Aaron,4,21,2,11,5.25,12,RCB,Holkar Cricket Stadium,10-Apr-17
1435,Jasprit Bumrah,4,21,2,11,5.25,12,DC,Wankhede Stadium,22-Apr-17
1436,Umesh Yadav,4,21,2,12,5.25,12,SRH,M. Chinnaswamy Stadium,17-May-17
1437,Bhuvneshwar Kumar,4,21,2,8,5.25,12,GL,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-17
1438,Pawan Negi,4,21,1,17,5.25,24,GL,Saurashtra Cricket Association Stadium,18-Apr-17
1439,Shane Watson,4,21,1,12,5.25,24,DC,M. Chinnaswamy Stadium,08-Apr-17
1440,Krunal Pandya,4,21,1,8,5.25,24,RCB,M. Chinnaswamy Stadium,14-Apr-17
1441,Lasith Malinga,4,21,0,11,5.25,0,RPS,Rajiv Gandhi Intl. Cricket Stadium,21-May-17
1442,Sreenath Aravind,4,21,0,10,5.25,0,MI,M. Chinnaswamy Stadium,14-Apr-17
1443,Sunil Narine,4,21,0,13,5.25,0,MI,M. Chinnaswamy Stadium,19-May-17
1444,Moises Henriques,2.5,15,0,7,5.29,0,RPS,Rajiv Gandhi Intl. Cricket Stadium,06-May-17
1445,Amit Mishra,3,16,1,9,5.33,18,PBKS,Arun Jaitley Stadium,15-Apr-17
