,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
593,Shane Watson,13,5,260,3,0,MI,Wankhede Stadium,20-May-11
594,Chris Gayle,13,4,325,0,2,PBKS,M. Chinnaswamy Stadium,06-May-11
595,Mayank Agarwal,13,5,260,1,1,MI,Chidambaram,27-May-11
596,Srikkanth Anirudha,13,5,260,3,0,KKR,Chidambaram,08-Apr-11
597,Subramaniam Badrinath,13,4,325,1,1,DC,Chidambaram,12-May-11
598,Subramaniam Badrinath,13,5,260,2,0,PBKS,IS Bindra Stadium,13-Apr-11
599,Chris Gayle,13,3,433.33,0,2,PBKS,M. Chinnaswamy Stadium,06-May-11
600,Chris Gayle,30,5,600,0,5,PWI,M. Chinnaswamy Stadium,17-Apr-12
601,Albie Morkel,28,6,466.66,2,3,RCB,Chidambaram,12-Apr-12
602,Chris Gayle,24,5,480,0,4,PWI,Maharashtra Cricket Association's International Stadium,11-May-12
603,Chris Gayle,24,6,400,3,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,20-May-12
604,Mayank Agarwal,24,6,400,2,2,MI,M. Chinnaswamy Stadium,14-May-12
605,Kumar Sangakkara,24,7,342.85,2,2,PWI,Barabati Stadium,01-May-12
606,Cameron White,24,5,480,1,3,PWI,Barabati Stadium,01-May-12
607,Ajinkya Rahane,24,6,400,6,0,RCB,M. Chinnaswamy Stadium,15-Apr-12
608,AB de Villiers,23,6,383.33,2,2,DEC,M. Chinnaswamy Stadium,06-May-12
609,Dwayne Bravo,23,6,383.33,2,2,DC,Chidambaram,25-May-12
610,David Warner,23,6,383.33,1,3,PBKS,HPCA Stadium,19-May-12
611,Dwayne Bravo,22,7,314.28,0,3,DEC,ACA-VDCA Stadium,07-Apr-12
612,Chris Gayle,22,5,440,1,3,KKR,Eden Gardens,28-Apr-12
613,Murali Vijay,22,5,440,1,3,MI,Wankhede Stadium,06-May-12
614,Kieron Pollard,22,6,366.66,2,2,RR,Wankhede Stadium,11-Apr-12
615,Adam Gilchrist,21,5,420,2,2,CSK,HPCA Stadium,17-May-12
616,Steve Smith,21,5,420,2,2,DC,Arun Jaitley Stadium,21-Apr-12
617,Virender Sehwag,21,5,420,2,2,MI,Arun Jaitley Stadium,27-Apr-12
618,Murali Vijay,21,6,350,2,2,DC,Chidambaram,25-May-12
619,Kevin Pietersen,20,5,400,0,3,DEC,Arun Jaitley Stadium,19-Apr-12
620,Kevin Pietersen,20,6,333.33,2,2,MI,Arun Jaitley Stadium,27-Apr-12
621,David Hussey,20,5,400,1,2,DEC,IS Bindra Stadium,13-May-12
622,David Warner,20,6,333.33,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
623,Chris Gayle,20,6,333.33,0,3,MI,Wankhede Stadium,09-May-12
624,Stuart Binny,19,5,380,3,1,MI,Sawai Mansingh Stadium,20-May-12
625,Kumar Sangakkara,19,6,316.66,4,0,PWI,Barabati Stadium,01-May-12
626,Angelo Mathews,19,4,475,0,3,KKR,Eden Gardens,05-May-12
627,JP Duminy,19,5,380,0,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-12
628,Chris Gayle,19,4,475,0,3,DC,Arun Jaitley Stadium,17-May-12
629,Kevin Pietersen,19,5,380,0,3,PWI,Arun Jaitley Stadium,21-Apr-12
630,Owais Shah,19,5,380,1,2,RCB,M. Chinnaswamy Stadium,15-Apr-12
631,Chris Gayle,19,5,380,0,3,CSK,Chidambaram,12-Apr-12
632,Rohit Sharma,19,6,316.66,3,1,KKR,Eden Gardens,12-May-12
633,Chris Gayle,19,5,380,0,3,DC,Arun Jaitley Stadium,17-May-12
634,JP Duminy,18,6,300,1,2,RR,Sawai Mansingh Stadium,17-Apr-12
635,AB de Villiers,18,5,360,1,2,RR,Sawai Mansingh Stadium,23-Apr-12
636,Brett Lee,18,5,360,1,2,RR,Sawai Mansingh Stadium,08-Apr-12
637,Faf du Plessis,18,6,300,3,1,PWI,Maharashtra Cricket Association's International Stadium,14-Apr-12
